freq,reporter,product,product label,PRODQNT value,PRODQNT year,PRODQNT unit,EXPQNT value,EXPQNT year,EXPQNT unit,IMPQNT value,IMPQNT year,IMPQNT unit
A,EU27_2020,20145290,"Nucleic acids and other heterocyclic compounds - thiazole, benzothiazole, other cycles",117294353,2019,KG,92353731,2019,KG,49817865,2019,KG
A,EU27_2020,20145350,Phosphoric esters; and their salts (including lactophosphates; their halogenated; sulphonated; nitrated or nitrosated derivatives),65516910,2019,KG,21769647,2019,KG,80876024,2019,KG
A,EU27_2020,20145380,"Esters of other inorganic acids of non-metals (excluding esters of hydrogen halides) and their salts; their halogenated, sulphonated, nitrated or nitrosated derivatives",160711000,2019,KG,78416635,2019,KG,82711717,2019,KG
A,EU27_2020,20146111,Methanal (formaldehyde),966504769,2019,KG,30057396,2019,KG,44722864,2019,KG
A,EU27_2020,20146113,Ethanal (acetaldehyde),30000000,2019,KG,4239981,2019,KG,156451,2019,KG
A,EU27_2020,20146115,Butanal (butyraldehyde; normal isomer),560332007,2019,KG,: ,2019,KG,: ,2019,KG
A,EU27_2020,20146119,"Acyclic aldehydes, without other oxygen function (excluding methanal (formaldehyde), ethanal (acetaldehyde), butanal (butyraldehyde; normal isomer))",210487418,2019,KG,: ,2019,KG,: ,2019,KG
A,EU27_2020,20146120,Cyclic aldehydes; without other oxygen function,28489760,2019,KG,18012635,2019,KG,8100808,2019,KG
A,EU27_2020,20146130,Aldehyde-alcohols,: ,2019,: ,: ,2019,: ,: ,2019,: 
A,EU27_2020,20146135,"Aldehyde-alcohols, Aldehyde-ethers, aldehyde-phenols and aldehydes with other oxygen function",4000000,2019,KG,5661621,2019,KG,6393404,2019,KG
A,EU27_2020,20146140,"Aldehyde-ethers, aldehyde-phenols and aldehydes with other oxygen function",: ,2019,: ,: ,2019,: ,: ,2019,: 
A,EU27_2020,20146150,Cyclic polymers of aldehydes,200,2019,KG,146589,2019,KG,922778,2019,KG
A,EU27_2020,20146160,Paraformaldehyde,123019675,2019,KG,20287132,2019,KG,574488,2019,KG
A,EU27_2020,20146170,"Halogenated, sulphonated, nitrated or nitrosated derivatives of cyclic polymers of aldehydes or paraformaldehyde",3000000,2019,KG,2823657,2019,KG,2490297,2019,KG
